year,date_iso,legacy_registration_key,category_code,old_current_category_name,restored_category_name
2013,2013-01-12,Conti13:34omydat.aco:28,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-01-25,Conti13:34omydat.aco:37,18,-ROMA.TELEFONO,-TF.ROMA
2013,2013-01-25,Conti13:34omydat.aco:48,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-01-01,Conti13:34omydat.aco:65,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2013,2013-02-04,Conti13:34omydat.aco:81,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-02-04,Conti13:34omydat.aco:82,43,-VESTITI.ML,-VEST.ML
2013,2013-02-04,Conti13:34omydat.aco:83,43,-VESTITI.ML,-VEST.ML
2013,2013-02-11,Conti13:34omydat.aco:97,26,-FONDI.ACQUA,-ACQUA.FONDI
2013,2013-02-05,Conti13:34omydat.aco:99,14,-ROMA.CASA,-CASA.ROMA
2013,2013-02-14,Conti13:34omydat.aco:123,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2013,2013-02-14,Conti13:34omydat.aco:124,14,-ROMA.CASA,-CASA.ROMA
2013,2013-03-08,Conti13:34omydat.aco:130,16,-ROMA.LUCE,-LUCE.ROMA
2013,2013-02-22,Conti13:34omydat.aco:135,43,-VESTITI.ML,-VEST.ML
2013,2013-03-05,Conti13:34omydat.aco:150,22,-FONDI.CASA,-CASA.FONDI
2013,2013-03-15,Conti13:34omydat.aco:156,22,-FONDI.CASA,-CASA.FONDI
2013,2013-03-16,Conti13:34omydat.aco:159,16,-ROMA.LUCE,-LUCE.ROMA
2013,2013-03-21,Conti13:34omydat.aco:160,24,-FONDI.LUCE,-LUCE.FONDI
2013,2013-03-25,Conti13:34omydat.aco:165,18,-ROMA.TELEFONO,-TF.ROMA
2013,2013-03-12,Conti13:34omydat.aco:167,43,-VESTITI.ML,-VEST.ML
2013,2013-03-15,Conti13:34omydat.aco:169,14,-ROMA.CASA,-CASA.ROMA
2013,2013-04-06,Conti13:34omydat.aco:178,17,-ROMA.GAS,-GAS.ROMA
2013,2013-04-04,Conti13:34omydat.aco:195,43,-VESTITI.ML,-VEST.ML
2013,2013-04-10,Conti13:34omydat.aco:219,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2013,2013-05-10,Conti13:34omydat.aco:233,16,-ROMA.LUCE,-LUCE.ROMA
2013,2013-04-21,Conti13:34omydat.aco:253,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2013,2013-05-16,Conti13:34omydat.aco:259,16,-ROMA.LUCE,-LUCE.ROMA
2013,2013-05-13,Conti13:34omydat.aco:268,26,-FONDI.ACQUA,-ACQUA.FONDI
2013,2013-05-15,Conti13:34omydat.aco:278,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-05-15,Conti13:34omydat.aco:279,43,-VESTITI.ML,-VEST.ML
2013,2013-05-15,Conti13:34omydat.aco:287,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-05-30,Conti13:34omydat.aco:289,17,-ROMA.GAS,-GAS.ROMA
2013,2013-05-25,Conti13:34omydat.aco:297,18,-ROMA.TELEFONO,-TF.ROMA
2013,2013-05-12,Conti13:34omydat.aco:300,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-05-10,Conti13:34omydat.aco:305,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2013,2013-05-14,Conti13:34omydat.aco:306,14,-ROMA.CASA,-CASA.ROMA
2013,2013-06-04,Conti13:34omydat.aco:334,43,-VESTITI.ML,-VEST.ML
2013,2013-06-04,Conti13:34omydat.aco:335,43,-VESTITI.ML,-VEST.ML
2013,2013-06-17,Conti13:34omydat.aco:341,43,-VESTITI.ML,-VEST.ML
2013,2013-06-17,Conti13:34omydat.aco:342,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-06-24,Conti13:34omydat.aco:355,24,-FONDI.LUCE,-LUCE.FONDI
2013,2013-06-25,Conti13:34omydat.aco:360,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-06-25,Conti13:34omydat.aco:361,43,-VESTITI.ML,-VEST.ML
2013,2013-07-01,Conti13:34omydat.aco:367,31,-ASSICURAZIONI.VARIE,-ASS.VARIE
2013,2013-07-01,Conti13:34omydat.aco:371,43,-VESTITI.ML,-VEST.ML
2013,2013-07-01,Conti13:34omydat.aco:372,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-07-01,Conti13:34omydat.aco:377,43,-VESTITI.ML,-VEST.ML
2013,2013-07-01,Conti13:34omydat.aco:383,43,-VESTITI.ML,-VEST.ML
2013,2013-07-01,Conti13:34omydat.aco:384,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-06-21,Conti13:34omydat.aco:393,17,-ROMA.GAS,-GAS.ROMA
2013,2013-07-10,Conti13:34omydat.aco:405,16,-ROMA.LUCE,-LUCE.ROMA
2013,2013-06-27,Conti13:34omydat.aco:408,14,-ROMA.CASA,-CASA.ROMA
2013,2013-07-04,Conti13:34omydat.aco:414,14,-ROMA.CASA,-CASA.ROMA
2013,2013-07-15,Conti13:34omydat.aco:425,43,-VESTITI.ML,-VEST.ML
2013,2013-07-15,Conti13:34omydat.aco:428,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-07-25,Conti13:34omydat.aco:434,18,-ROMA.TELEFONO,-TF.ROMA
2013,2013-07-24,Conti13:34omydat.aco:440,17,-ROMA.GAS,-GAS.ROMA
2013,2013-07-16,Conti13:34omydat.aco:455,22,-FONDI.CASA,-CASA.FONDI
2013,2013-07-31,Conti13:34omydat.aco:459,22,-FONDI.CASA,-CASA.FONDI
2013,2013-07-25,Conti13:34omydat.aco:462,43,-VESTITI.ML,-VEST.ML
2013,2013-07-05,Conti13:34omydat.aco:481,43,-VESTITI.ML,-VEST.ML
2013,2013-08-30,Conti13:34omydat.aco:498,16,-ROMA.LUCE,-LUCE.ROMA
2013,2013-08-31,Conti13:34omydat.aco:522,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-08-22,Conti13:34omydat.aco:527,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2013,2013-08-16,Conti13:34omydat.aco:529,26,-FONDI.ACQUA,-ACQUA.FONDI
2013,2013-09-04,Conti13:34omydat.aco:549,43,-VESTITI.ML,-VEST.ML
2013,2013-09-03,Conti13:34omydat.aco:555,22,-FONDI.CASA,-CASA.FONDI
